Peptide ID,SMILES,logP,logD
837,CCCCCCCCCCCC(=O)[N+](CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)[H],1.380400000000007,-5.699850467677382
858,CCCCCCCCCCCC(=O)[N+](C[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)[H],-0.6719999999999988,-7.752250467677388
6200,CCCCCCCCCCCC(=O)[N+](CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](CCCCN)C(=O)O)[H],1.9797000000000098,-8.600687781941037
7319,,,
7340,,,
7346,,,
7352,,,
7358,CCCCCCCCCCCC(=O)[N+](CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CC(C)C)C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(N)=O)[H],0.1799999999999814,-10.440375701516102
7360,CCCCCCCCCCCC(=O)[N+](CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CC(C)C)C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(N)=O)[H],-0.35090000000002236,-10.971275701516106
7362,CCCCCCCCCCCC(=O)[N+](CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CCCCN)C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(N)=O)[H],-0.8818000000000179,-11.502175701516101
7364,CCCCCCCCCCCC(=O)[N+](CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CCCCN)C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(N)=O)[H],-0.495600000000012,-7.575850467677401
7533,,,
8116,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCCN)C(=O)O)[H],-4.59941999999999,-39.03968973851138
8118,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCCN)C(=O)O)[H],-5.851349999999955,-45.77162117659316
8119,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCCN)C(=O)O)[H],-4.59941999999999,-39.03968973851138
8653,CCCCCCCCCCCC(=O)[N+](CC(C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)O)C(C)C)[H],-5.078219999999929,-41.11873876810691
8668,CCCCCCCCCCCC(=O)[N+](CC(C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O)C(C)C)[H],-4.305819999999979,-33.26608830042956
8680,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)CNC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)O)[H],-6.771289999999937,-42.811808768106914
8695,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)CNC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)[C@@H](N)CCCNC(=N)N)C(=O)O)[H],-5.998889999999978,-34.959158300429564
9267,CCCCCCCCCCCC(=O)[N+](CC(C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN)C(N)=O)[H],0.8366000000000069,-2.7035252338386875
9273,CCCCCCCCCCCC(=O)[N+](C[C@@H](O)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN)C(=O)O)[H],0.16070000000000723,-3.379425233838687
9308,CCCCCCCCCCCC(=O)[N+](NCCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CS)C(N)=O)[H],0.299000000000008,-6.799392327422726
9838,CCCCCCCCCCCC(=O)[N+](NCCCC[C@H](NC(=O)[C@@H](N)CCCCN)C(N)=O)[H],0.8844000000000058,-6.195850467677383
10003,CCCCCCCCCCCC(=O)[N+](CC[C@H](C)[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)C(C)C)[H],-0.15959999999998775,-17.86022616919346
10037,,,
10368,CCCCCCCCCCCC(=O)[N+](NCCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CCCCN)C(N)=O)[H],0.49820000000000864,-10.122175701516074
10369,CCCCCCCCCCCC(=O)[N+](NCCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CCCCN)C(N)=O)[H],0.11199999999999494,-14.048500935354783
10370,CCCCCCCCCCCC(=O)[N+](NCCCC[C@H](N)C(=O)NCC(N)=O)[H],0.386800000000004,-3.1533252338386903
10371,CCCCCCCCCCCC(=O)[N+](NCCCC[C@H](NC(=O)CNC(=O)[C@@H](N)CCCCN)C(N)=O)[H],0.0006000000000058736,-7.079650467677383
10372,CCCCCCCCCCCC(=O)[N+](NCCCC[C@H](NC(=O)CNC(=O)[C@@H](N)CCCCN)C(=O)NCC(N)=O)[H],-0.8831999999999964,-7.963450467677385
10569,CCCCCCCCCCCC(=O)[N+](CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)CN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(N)=O)[H],2.4305999999999766,-8.189775701516107
10991,,,
11020,,,
11101,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1)C(=O)N1CCC[C@H]1C(N)=O)[H],-2.4261600000000225,-18.866164314245445
11105,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1)C(=O)N1CCC[C@H]1C(N)=O)[H],-2.058030000000012,-13.018032876163627
11109,CCCCCCCCCCCC(=O)[N+](CC(C)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(N)=O)[H],-0.9994600000000189,-11.959462876163634
11113,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1)C(=O)N1CCC[C@H]1C(N)=O)[H],0.03456999999999344,-10.925432876163622
11116,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1)C(=O)N1CCC[C@H]1C(N)=O)[H],-2.4261600000000225,-18.866164314245445
11722,,,
11723,,,
12105,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(N)=O)[H],-3.5605900000000243,-25.480595752327254
12346,CCCCCCCCCCCC(=O)[N+](NCCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[H],3.901300000000009,-6.679087781941038
12361,,,
12650,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CCCNC(=N)N)C(N)=O)[H],0.8795700000000057,-10.08043287616361
12652,CCCCCCCCCCCC(=O)[N+](C[C@H](NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)[H],-0.6993600000000042,-11.65936287616362
12653,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CS)NC(=O)[C@@H](N)CCCNC(=N)N)C(N)=O)[H],-0.4333299999999995,-11.411474735908962
12654,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)[C@@H](N)CCCNC(=N)N)C(N)=O)[H],-0.7317300000000007,-11.691732876163616
12655,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H](N)CCCNC(=N)N)C(N)=O)[H],-0.3973300000000017,-11.402518040295114
12656,CCCCCCCCCCCC(=O)[N+](CC[C@H](C)[C@H](NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)[H],0.32683999999999847,-10.633162876163617
12657,CCCCCCCCCCCC(=O)[N+](CC(C)C[C@H](NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)[H],0.32683999999999847,-10.633162876163617
12658,CCCCCCCCCCCC(=O)[N+](CSCC[C@H](NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)[H],0.38143999999999895,-10.578562876163616
12659,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(N)=O)[H],-1.0998600000000076,-17.53986431424543
12660,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CO)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)O)[H],-0.7715300000000005,-11.731532876163616
12661,CCCCCCCCCCCC(=O)[N+](CC(C)[C@H](NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)[H],-0.06326000000000348,-11.023262876163619
12662,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(N)=O)[H],-1.6242900000000198,-23.54429575232725
12663,CCCCCCCCCCCC(=O)[N+](CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)[H],-2.1770200000000237,-24.097025752327255
12664,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O)[H],0.8795699999999951,-10.08043287616362
12665,CCCCCCCCCCCC(=O)[N+](CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O)[H],0.3268399999999946,-10.63316287616362
13861,CCCCCCCCCCCC(=O)[N+](CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)CN)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)O)[C@@H](C)O)[H],0.30226999999998344,-12.257981905759213
14166,CCCCCCCCCCCC(=O)[N+](NCCCC[C@H](NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](CS)C(N)=O)[H],0.29900000000000754,-6.799392327422727
14168,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@@H](N)CCCCN)C(N)=O)[H],-0.1909999999999944,-9.211126671920496
14282,,,
14286,,,
14387,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCN)C(N)=O)[H],1.840399999999999,-10.719851905759198
14414,CCCCCCCCCCCC(=O)[N+](CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1)[C@@H](C)CC)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)[H],-1.0091200000000002,-22.92912575232723
14417,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)Cc1ccccc1)C(N)=O)[H],0.31200999999996826,-21.607995752327263
14669,CCCCCCCCCCCC(=O)[N+](CC(C)C[C@H](NC(=O)[C@@H](N)CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O)[H],-0.28042999999999313,-8.690941390094652
14673,CCCCCCCCCCCC(=O)[N+](CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CS)NC(=O)CNC(=O)[C@@H](N)CS)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)[H],-2.934330000000015,-8.450615157572514
14903,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@@H](N)CCCNC(=N)N)C(N)=O)[H],-1.0567299999999946,-12.01673287616361
14911,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)Cc1ccccc1)C(N)=O)[H],-0.32922999999999875,-11.289232876163615
14913,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)CN)C(N)=O)[H],-1.9405300000000034,-12.90053287616362
14916,CCCCCCCCCCCC(=O)[N+](CC[C@H](C)[C@H](N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)[H],-0.8819600000000012,-11.841962876163617
14919,CCCCCCCCCCCC(=O)[N+](CC(C)C[C@H](N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)[H],-0.8819600000000012,-11.841962876163617
14921,CCCCCCCCCCCC(=O)[N+](CSCC[C@H](N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)[H],-0.8273599999999997,-11.787362876163616
14927,,,
14929,,,
14931,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1)C(N)=O)[H],-1.1472300000000009,-12.107232876163616
14934,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(N)=O)[H],-2.3086600000000113,-18.748664314245435
14936,CCCCCCCCCCCC(=O)[N+](C[C@@H](O)[C@H](N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O)[H],-1.9479600000000046,-12.90796287616362
14938,CCCCCCCCCCCC(=O)[N+](CC(C)[C@H](N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)[H],-1.2720600000000024,-12.232062876163617
14941,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)C(N)=O)[H],0.1520700000000047,-10.80793287616361
14943,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)O)[H],-0.024329999999992247,-10.984470190427267
15568,CCCCCCCCCCCC(=O)[N+](NCCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CCCCN)C(=O)O)[H],2.3063000000000087,-11.814213015779734
15569,CCCCCCCCCCCC(=O)[N+](NCCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)O)[H],-1.7959000000000085,-12.376287781941055
15823,CCCCCCCCCCCC(=O)[N+](NCCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CCCCN)C(=O)O)[H],0.32509999999998734,-20.875663483457142
16083,,,
16084,,,
16085,,,
16091,CCCCCCCCCCCC(=O)[N+](CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)CN)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)O)[C@@H](C)O)[H],0.30226999999998344,-12.257981905759213
16551,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)C(=O)NCC(N)=O)[H],-8.243309999999891,-52.08332150465435
16815,,,
16816,,,
16851,,,
17734,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O)[H],2.612800000000007,-2.8672014380818007
17740,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O)[H],0.15207000000000293,-10.807932876163612
17783,CCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)CCCNC(=N)N)C(N)=O)[H],0.15207000000000703,-10.807932876163608
17844,CCCCCCCCCCCC(=O)[N+](CC(C)C[C@H](NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(N)=O)[H],1.5770000000000095,-5.503250467677379
17850,CCCCCCCCCCCC(=O)[N+](CC(C)C[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(N)=O)[H],2.0629999999999775,-12.0975009353548
18095,,,
18100,,,
18267,CCCCCCCCCCCC(=O)[N+](CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCCN)[C@@H](C)CC)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)[H],-1.477359999999981,-22.617958179272012
18268,CCCCCCCCCCCC(=O)[N+](CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCCN)[C@@H](C)CC)C(=O)N[C@@H](CCCCN)C(N)=O)[H],-1.1643600000000038,-19.20461334384101
18269,CCCCCCCCCCCC(=O)[N+](CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)[H],-1.3090600000000236,-15.809188110002333
