Peptide ID,SMILES,logP,logD
51,CCCCCCCCCCCCCCCC(=O)[N+](CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)[H],2.9408000000000083,-4.1394504676773805
838,CCCCCCCCCCCCCCCC(=O)[N+](C[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)[H],0.8884000000000054,-6.191850467677384
860,CCCCCCCCCCCCCCCC(=O)[N+](NCCCC[C@H](NC(=O)CNC(=O)CNC(=O)[C@@H](N)CCCCN)C(N)=O)[H],0.6772000000000078,-6.403050467677381
862,CCCCCCCCCCCCCCCC(=O)[N+](NCCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CCCCN)C(N)=O)[H],1.6723999999999992,-12.488100935354778
863,CCCCCCCCCCCCCCCC(=O)[N+](NCCCC[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CCCCN)C(=O)O)[H],1.4081999999999995,-12.142685653528936
864,CCCCCCCCCCCCCCCC(=O)[N+](CC[C@H](C)[C@H](NC(=O)CN)C(=O)NCC(=O)N[C@@H](CCCCN)C(N)=O)[H],1.0285000000000095,-2.511625233838685
1124,CCCCCCCCCCCCCCCC(=O)[N+](NCCCC[C@H](NC(=O)[C@@H](N)CCCCN)C(N)=O)[H],2.444800000000005,-4.635450467677384
1125,CCCCCCCCCCCCCCCC(=O)[N+](NCCCC[C@H](NC(=O)[C@@H](N)CCCCN)C(=O)O)[H],3.0441000000000047,-7.536287781941042
1368,CCCCCCCCCCCCCCCC(=O)[N+](CSCC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)[H],-0.12338999999998734,-23.6436447819228
6197,CCCCCCCCCCCCCCCC(=O)[N+](NCCCC[C@H](NC(=O)CNC(=O)CNC(=O)[C@@H](N)CCCCN)C(=O)O)[H],1.2765000000000082,-9.30388778194104
6198,CCCCCCCCCCCCCCCC(=O)[N+](NCCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CCCCN)C(=O)O)[H],2.271700000000003,-15.388938249618434
6199,CCCCCCCCCCCCCCCC(=O)[N+](C[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](CCCCN)C(=O)O)[H],1.487700000000008,-9.09268778194104
7322,,,
7342,,,
7348,,,
7354,,,
7542,,,
7580,CCCCCCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@@H](N)CCCNC(=N)N)C(N)=O)[H],0.5036700000000081,-10.456332876163607
7927,CCCCCCCCCCCCCCCC(=O)[N+](NCCCC[C@H](NC(=O)CNC(=O)[C@@H](N)CCCCN)C(N)=O)[H],1.5610000000000073,-5.519250467677382
7973,CCCCCCCCCCCCCCCC(=O)[N+](NCCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CCCCN)C(N)=O)[H],2.058600000000008,-8.561775701516076
8117,CCCCCCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCCN)C(=O)O)[H],-3.039019999999992,-37.47928973851138
8348,CCCCCCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)CCCCN)C(=O)O)[H],2.401800000000007,-6.618463986184153
8473,,,
8506,,,
8655,CCCCCCCCCCCCCCCC(=O)[N+](CC(C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)O)C(C)C)[H],-3.5178199999999267,-39.55833876810691
8672,CCCCCCCCCCCCCCCC(=O)[N+](CC(C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O)C(C)C)[H],-2.7454199999999833,-31.705688300429564
8682,CCCCCCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)CNC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)O)[H],-5.210889999999942,-41.25140876810692
8699,CCCCCCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)CNC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)[C@@H](N)CCCNC(=N)N)C(=O)O)[H],-4.438489999999985,-33.39875830042957
9257,CCCCCCCCCCCCCCCC(=O)[N+](C[C@@H](O)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN)C(=O)O)[H],1.7211000000000067,-1.8190252338386876
9259,CCCCCCCCCCCCCCCC(=O)[N+](CC(C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN)C(N)=O)[H],2.397000000000006,-1.1431252338386884
9261,CCCCCCCCCCCCCCCC(=O)[N+](C[C@@H](O)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN)C(=O)O)[H],1.7211000000000067,-5.319162548102346
9263,CCCCCCCCCCCCCCCC(=O)[N+](CC(C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN)C(=O)O)[H],2.996300000000005,-4.043962548102348
9277,CCCCCCCCCCCCCCCC(=O)[N+](NCCCC[C@H](N)C(=O)N1CCC[C@H]1C(N)=O)[H],2.8220000000000036,-0.7181252338386908
9278,CCCCCCCCCCCCCCCC(=O)[N+](NCCCC[C@H](N)C(=O)N1CCC[C@H]1C(N)=O)[H],2.8220000000000036,-0.7181252338386908
9279,CCCCCCCCCCCCCCCC(=O)[N+](CC(C)[C@H](NC(=O)[C@@H]1CCCN1)C(N)=O)[H],2.701700000000001,2.701700000000001
9280,CCCCCCCCCCCCCCCC(=O)[N+](O=C(O)[C@H](CO)NC(=O)[C@@H]1CCCN1)[H],,
9281,CCCCCCCCCCCCCCCC(=O)[N+](C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN)C(N)=O)[H],1.7609000000000061,-1.7792252338386882
9282,CCCCCCCCCCCCCCCC(=O)[N+](CC(C)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN)C(N)=O)[H],2.787100000000006,-0.7530252338386885
